#,type,publish_date,caption,image_title,image_big,image_sub,hashtags
1,hook,2026-04-17 09:00,"작년 당신이 세금을 얼마나 더 냈는지 아시나요?

프리랜서 평균 환급액: 49만원
크리에이터 평균 환급액: 38만원
자영업자 평균 환급액: 52만원

종합소득세 신고 D-44
지금 1분이면 확인 가능합니다.

수수료 0원 조회 → 링크 프로필

링크: https://ghdejr11-beep.github.io/cheonmyeongdang/departments/tax/src/

#종합소득세 #세금환급 #프리랜서 #1인사업자 #세금N혜택 #환급금 #절세",작년 평균 환급액,32만원,프리랜서 · 자영업자 · 크리에이터,#종합소득세 #세금환급 #프리랜서 #1인사업자 #세금N혜택 #환급금 #절세
2,hook,2026-04-17 17:00,"📊 3.3% 원천징수가 모여 쌓인 돈

연수입 3천만원 프리랜서 기준
→ 1년에 약 99만원 원천징수
→ 실제 세금 약 50만원 (경비 공제 후)
→ **약 49만원 환급 가능**

1분만 투자하면 확인됩니다.

링크: https://ghdejr11-beep.github.io/cheonmyeongdang/departments/tax/src/

#프리랜서세금 #3점3환급 #원천징수환급 #종합소득세 #세금N혜택",3.3% 원천징수,49만원 환급,"연수입 3,000만원 기준",#프리랜서세금 #3점3환급 #원천징수환급 #종합소득세 #세금N혜택
3,hook,2026-04-18 01:00,"🔥 종합소득세 신고 D-44

5/31 마감까지 44일 남았습니다.

지금까지 환급받지 않은 세금이 있다면
지금이 마지막 기회입니다.

무료 조회 → 프로필 링크

링크: https://ghdejr11-beep.github.io/cheonmyeongdang/departments/tax/src/

#종합소득세신고 #D44 #세금마감 #세금환급 #세금N혜택",종합소득세 마감,D-44,2026년 5월 31일까지,#종합소득세신고 #D44 #세금마감 #세금환급 #세금N혜택
4,hook,2026-04-18 09:00,"⚠️ 모르면 손해 보는 3.3% 환급

프리랜서·유튜버·강사 등
원천징수 3.3% 떼고 받으셨다면

신고 안 하면 → 국가가 가져갑니다
신고 하면 → 최대 80%까지 돌려받을 수 있어요

5/31 전에 꼭 확인하세요.

링크: https://ghdejr11-beep.github.io/cheonmyeongdang/departments/tax/src/

#프리랜서 #3점3 #세금환급 #종합소득세 #프리랜서절세",프리랜서 3.3%,최대 80% 환급,신고 안 하면 국가에게 귀속,#프리랜서 #3점3 #세금환급 #종합소득세 #프리랜서절세
5,hook,2026-04-18 17:00,"💰 유튜버 A씨: 환급액 172만원

연 수입 4,500만원
편집비·장비비 등 경비 1,800만원
3.3% 원천징수액 147만원

→ 실제 세액 계산 결과 172만원 환급!

혼자 계산 어려우면 무료 자동 계산

링크: https://ghdejr11-beep.github.io/cheonmyeongdang/departments/tax/src/

#유튜버세금 #크리에이터세금 #부업세금 #세금환급 #세금N혜택",유튜버 A씨 사례,172만원 환급,"연수입 4,500만원",#유튜버세금 #크리에이터세금 #부업세금 #세금환급 #세금N혜택
6,hook,2026-04-19 01:00,"📈 숨은 세금 환급금 있나요?

홈택스 로그인 → 복잡함
세무사 방문 → 상담료 5~10만원
**세금N혜택** → 1분 무료 조회

수수료 0원, 회원가입 X

링크: https://ghdejr11-beep.github.io/cheonmyeongdang/departments/tax/src/

#세무사비교 #세금앱 #수수료0 #세금환급 #세금N혜택",세무 서비스 비교,수수료 0원,타 서비스 대비 10~20% 절감,#세무사비교 #세금앱 #수수료0 #세금환급 #세금N혜택
7,target,2026-04-19 09:00,"💼 프리랜서라면 꼭 확인하세요

경비처리 가능한 것들:
✓ 업무용 노트북, 모니터
✓ 통신비 70%
✓ 교육비, 도서비
✓ 카페 작업 시 음료비 (한도 있음)

연 수입 3천만원 → 약 49만원 환급

링크: https://ghdejr11-beep.github.io/cheonmyeongdang/departments/tax/src/

#프리랜서 #1인사업자 #프리랜서경비 #세금환급",프리랜서 필수,49만원,평균 환급액,#프리랜서 #1인사업자 #프리랜서경비 #세금환급
8,target,2026-04-19 17:00,"🏪 자영업자·소상공인 맞춤

✓ 매입 원가 전액 경비처리
✓ 임대료, 관리비
✓ 직원 급여, 4대보험
✓ 사업용 차량 리스·렌트
✓ 노란우산공제 최대 500만원 소득공제

매출 1억 400만원 이하면 간이과세자 전환 검토

링크: https://ghdejr11-beep.github.io/cheonmyeongdang/departments/tax/src/

#자영업자 #소상공인 #절세 #종합소득세",자영업자 절세 가이드,500만원,노란우산공제 최대 소득공제,#자영업자 #소상공인 #절세 #종합소득세
9,target,2026-04-20 01:00,"🎬 유튜버·크리에이터

경비처리 가능:
✓ 카메라, 마이크, 조명 장비
✓ 편집 프로그램 구독료 (프리미어·파이널컷)
✓ 촬영 장소 대여비
✓ 외주 편집비 (원천징수 3.3%)

해외 애드센스 수입도 종합소득세 신고 필수

링크: https://ghdejr11-beep.github.io/cheonmyeongdang/departments/tax/src/

#유튜버 #크리에이터 #애드센스 #부업세금",크리에이터 절세,장비 100% 경비,카메라·마이크·편집,#유튜버 #크리에이터 #애드센스 #부업세금
10,target,2026-04-20 09:00,"🛵 배달 라이더 절세

✓ 오토바이·자전거 구입비
✓ 수리비, 주유비, 보험료
✓ 휴대폰 요금 (업무용 70%)
✓ 배달가방, 헬멧 등 장비

단순경비율 약 79.4% 적용 가능

링크: https://ghdejr11-beep.github.io/cheonmyeongdang/departments/tax/src/

#배달라이더 #쿠팡이츠 #배민 #배달세금",배달 라이더,79.4%,단순경비율 인정,#배달라이더 #쿠팡이츠 #배민 #배달세금
11,target,2026-04-20 17:00,"💻 직장인 부업러

본업 월급 외 부업 수입은
따로 종합소득세 신고해야 해요.

✓ 블로그 광고료
✓ 유튜브 애드센스
✓ 쿠팡파트너스·애드포스트
✓ 과외비, 원고료

3.3% 떼고 받은 건 환급 가능!

링크: https://ghdejr11-beep.github.io/cheonmyeongdang/departments/tax/src/

#직장인부업 #부수입 #애드센스 #부업세금",직장인 부업,부수입 신고,종합소득세 확정신고,#직장인부업 #부수입 #애드센스 #부업세금
12,target,2026-04-21 01:00,"🛡️ 보험설계사 경비처리

✓ 교통비, 차량유지비
✓ 고객 접대비 (증빙 필수)
✓ 업무용 정장, 명함
✓ 사무용품, 문구류

단순경비율 약 48.1% 적용

링크: https://ghdejr11-beep.github.io/cheonmyeongdang/departments/tax/src/

#보험설계사 #fp #보험영업 #보험설계사세금",보험설계사,48.1%,단순경비율 인정,#보험설계사 #fp #보험영업 #보험설계사세금
13,edu,2026-04-21 09:00,"📚 종합소득세란?

1년 동안 번 소득 전부 합쳐서
한 번에 신고·납부하는 세금.

신고 기간: 매년 5월 1일 ~ 31일
대상: 사업소득·근로소득·이자·배당·연금·기타

납부 늦으면 가산세 붙으니
무조건 5월 내 신고하세요!

링크: https://ghdejr11-beep.github.io/cheonmyeongdang/departments/tax/src/

#종합소득세 #세금기초 #소득세신고 #세테크",종합소득세란?,5/1 ~ 5/31,매년 5월 신고,#종합소득세 #세금기초 #소득세신고 #세테크
14,edu,2026-04-21 17:00,"📖 환급 vs 추징

환급: 미리 낸 세금 > 실제 세금
→ 차액을 돌려받음 (💰)

추징: 미리 낸 세금 < 실제 세금
→ 차액을 더 내야 함 (💸)

프리랜서는 대부분 환급!
안 하면 국가가 그대로 가져감.

링크: https://ghdejr11-beep.github.io/cheonmyeongdang/departments/tax/src/

#환급 #추징 #세금환급 #프리랜서환급",환급 vs 추징,프리랜서 = 환급,안 하면 국가 귀속,#환급 #추징 #세금환급 #프리랜서환급
15,edu,2026-04-22 01:00,"🧮 경비처리란?

""사업을 위해 쓴 돈""을
수입에서 빼주는 제도.

경비 많이 인정받을수록
→ 세금 줄어듦
→ 환급액 증가

하지만 증빙 없으면 인정 안 돼요!
카드 명세서, 현금영수증 보관 필수

링크: https://ghdejr11-beep.github.io/cheonmyeongdang/departments/tax/src/

#경비처리 #절세 #세금환급 #증빙",경비처리,증빙이 핵심,카드·현금영수증,#경비처리 #절세 #세금환급 #증빙
16,edu,2026-04-22 09:00,"📌 간이과세자 vs 일반과세자

간이과세자 (매출 1억 400만원 미만)
✓ 세금계산서 발행 불가
✓ 세율 낮음 (1.5~4%)
✓ 부가세 환급 못 받음

일반과세자 (매출 1억 400만원 이상)
✓ 세금계산서 발행 가능
✓ 세율 10%
✓ 부가세 환급 가능

링크: https://ghdejr11-beep.github.io/cheonmyeongdang/departments/tax/src/

#간이과세자 #일반과세자 #부가세 #사업자",간이 vs 일반,1억 400만원,기준 매출,#간이과세자 #일반과세자 #부가세 #사업자
17,edu,2026-04-22 17:00,"⏰ 세금 캘린더 2026

1월 25일: 부가세 확정신고
4월 30일: 법인세 신고 (12월 결산)
5월 31일: 종합소득세 신고 ⚠️
7월 25일: 부가세 예정신고
8월 31일: 법인세 중간예납
1월 25일(익년): 부가세 확정신고

알림 놓치면 가산세!

링크: https://ghdejr11-beep.github.io/cheonmyeongdang/departments/tax/src/

#세금캘린더 #세금일정 #부가세 #종합소득세",세금 캘린더,5/31,종합소득세 마감,#세금캘린더 #세금일정 #부가세 #종합소득세
18,edu,2026-04-23 01:00,"📝 신고하지 않으면?

무신고 가산세: 납부세액의 20%
과소신고 가산세: 차액의 10%
납부지연 가산세: 연 8.03%

""나는 환급이니 안 해도 돼""
→ 환급 못 받고 끝!

수수료 0원 무료 조회

링크: https://ghdejr11-beep.github.io/cheonmyeongdang/departments/tax/src/

#가산세 #신고필수 #세금신고 #종합소득세",미신고 페널티,가산세 20%,무신고 시 부과,#가산세 #신고필수 #세금신고 #종합소득세
19,uniq,2026-04-23 09:00,"🆚 타 서비스와 비교

타 서비스:
× 환급액의 10~20% 수수료
× 가입 필수
× 개인정보 서버 저장

세금N혜택:
✓ 수수료 0원
✓ 회원가입 불필요
✓ 주민번호 서버 미저장

왜 무료? 도서·광고 제휴로 운영

링크: https://ghdejr11-beep.github.io/cheonmyeongdang/departments/tax/src/

#세금앱 #세무서비스 #세금환급 #세금N혜택",세금N혜택 차별점,수수료 0원,가입 없이 1분 조회,#세금앱 #세무서비스 #세금환급 #세금N혜택
20,uniq,2026-04-23 17:00,"🔒 개인정보 보안 원칙

✓ 주민번호 256비트 암호화 전송
✓ 서버에 저장 안 함
✓ 한국신용정보원 인증 API(CODEF)
✓ 카카오·토스·네이버·PASS 간편인증

공동인증서(공인인증서) 필요 없음

링크: https://ghdejr11-beep.github.io/cheonmyeongdang/departments/tax/src/

#개인정보보호 #보안 #세금앱 #codef",보안 원칙,256-bit 암호화,서버 미저장,#개인정보보호 #보안 #세금앱 #codef
21,uniq,2026-04-24 01:00,"⚡ 1분 조회 프로세스

Step 1: 카카오톡 본인인증 (20초)
Step 2: 홈택스 자동 연동 (30초)
Step 3: 환급금 즉시 표시 (10초)

총 소요: 1분
필요: 스마트폰 하나

링크: https://ghdejr11-beep.github.io/cheonmyeongdang/departments/tax/src/

#1분세금 #간편세금 #카카오인증 #세금N혜택",1분 프로세스,60초,간편인증 → 조회,#1분세금 #간편세금 #카카오인증 #세금N혜택
22,uniq,2026-04-24 09:00,"💬 AI 세무 상담 24시간

""유튜브 수입도 신고해야 해?""
""노트북 산 건 경비 처리 돼?""
""3.3% 얼마나 환급받을 수 있어?""

실제 세무사 기준으로 학습한 AI가
24시간 즉답해드립니다.

세금N혜택 AI 상담 탭

링크: https://ghdejr11-beep.github.io/cheonmyeongdang/departments/tax/src/

#AI세무 #세무상담 #세금AI #세금N혜택",AI 세무 상담,24시간,즉답 가능,#AI세무 #세무상담 #세금AI #세금N혜택
23,uniq,2026-04-24 17:00,"🏛️ 정부 지원금 자동 매칭

소상공인 디지털 전환 지원 최대 400만원
청년 창업 사업화 지원 최대 1억원
고용촉진 장려금 최대 720만원
노란우산공제 연 500만원 소득공제

내 사업에 맞는 지원금 자동 추천

링크: https://ghdejr11-beep.github.io/cheonmyeongdang/departments/tax/src/

#정부지원금 #소상공인지원 #창업지원 #세금N혜택",정부 지원금,1억원,청년 창업 최대,#정부지원금 #소상공인지원 #창업지원 #세금N혜택
24,uniq,2026-04-25 01:00,"📱 웹·앱 선택 가능

모바일·PC 어디서든 웹으로 즉시 사용
or
Android 앱 다운로드 (Play Store)

회원가입 없이 링크만 눌러도 시작 가능

링크: https://ghdejr11-beep.github.io/cheonmyeongdang/departments/tax/src/

#모바일세금 #세금웹 #세금앱 #세금N혜택",웹 + 앱,설치 불필요,링크 클릭만,#모바일세금 #세금웹 #세금앱 #세금N혜택
25,cta,2026-04-25 09:00,"🔥 지금 바로 조회하세요

종합소득세 마감 D-44
2026년 5월 31일까지

1분 투자 → 평균 32만원 환급 확인

무료로 확인하기 → 프로필 링크

링크: https://ghdejr11-beep.github.io/cheonmyeongdang/departments/tax/src/

#지금시작 #세금환급 #종합소득세 #세금N혜택",지금 시작,D-44,마감 임박,#지금시작 #세금환급 #종합소득세 #세금N혜택
26,cta,2026-04-25 17:00,"💰 환급액이 얼마일지 궁금하다면

1분이면 확인 가능합니다.

✓ 카카오톡 인증
✓ 홈택스 자동 연동
✓ 5년치 환급금 조회
✓ 수수료 0원

클릭 → 프로필 링크

링크: https://ghdejr11-beep.github.io/cheonmyeongdang/departments/tax/src/

#환급금조회 #세금환급 #무료 #세금N혜택",환급액 확인,1분,조회 완료,#환급금조회 #세금환급 #무료 #세금N혜택
27,cta,2026-04-26 01:00,"⏰ 이번 달 내 꼭 하세요

5월 31일 자정 이후엔
환급 신청 불가능.

1년 기다려야 함.
(가산세 위험도 있음)

수수료 없이 1분 확인 →

링크: https://ghdejr11-beep.github.io/cheonmyeongdang/departments/tax/src/

#5월31일 #세금마감 #종합소득세 #세금N혜택",5월 31일,마감 엄수,1년 기다려야,#5월31일 #세금마감 #종합소득세 #세금N혜택
28,cta,2026-04-26 09:00,"🎯 친구·가족과 공유하세요

주변에 프리랜서·자영업자·유튜버가 있다면
이 링크 한번 보여주세요.

대부분 환급 대상자인데 몰라서
매년 수십만원씩 버리고 있습니다.

공유하기 →

링크: https://ghdejr11-beep.github.io/cheonmyeongdang/departments/tax/src/

#공유 #프리랜서 #자영업자 #세금환급",공유하기,수십만원,매년 버려지는 돈,#공유 #프리랜서 #자영업자 #세금환급
29,cta,2026-04-26 17:00,"💡 오늘의 꿀팁

""환급 조회"" + ""환급 신청""은 다릅니다.

조회만 한다고 자동으로 입금 X
반드시 신청까지 완료해야 받을 수 있어요.

세금N혜택에선 조회 → 신청까지 원클릭!

링크: https://ghdejr11-beep.github.io/cheonmyeongdang/departments/tax/src/

#세금환급 #신청필수 #세금N혜택",조회 ≠ 신청,신청 필수,조회만으론 X,#세금환급 #신청필수 #세금N혜택
30,cta,2026-04-27 01:00,"🚀 세금N혜택 런칭 기념

✨ 신규 런칭 이벤트 ✨
→ 평생 수수료 0원 약속
→ 신고 마감 전까지 무제한 재조회
→ 세금 캘린더 자동 알림 무료

지금 시작하세요 → 프로필 링크

링크: https://ghdejr11-beep.github.io/cheonmyeongdang/departments/tax/src/

#런칭 #이벤트 #세금N혜택 #무료세무",런칭 기념,평생 무료,수수료 0원 약속,#런칭 #이벤트 #세금N혜택 #무료세무
